review_text,rating,review_date,bank,source,app_package
🙏👍,5,2025-11-29,BOA,Google Play,com.boa.boaMobileBanking
Very Good,5,2025-11-28,BOA,Google Play,com.boa.boaMobileBanking
goof,5,2025-11-28,BOA,Google Play,com.boa.boaMobileBanking
good!,5,2025-11-28,BOA,Google Play,com.boa.boaMobileBanking
good jop,5,2025-11-27,BOA,Google Play,com.boa.boaMobileBanking
bad exprience...it is so crushed,1,2025-11-27,BOA,Google Play,com.boa.boaMobileBanking
not user friendly at all it requires a huge connectivity and also lags many times 😑😑😑,1,2025-11-26,BOA,Google Play,com.boa.boaMobileBanking
ምንም የማይ ሰራ,1,2025-11-26,BOA,Google Play,com.boa.boaMobileBanking
very good,5,2025-11-25,BOA,Google Play,com.boa.boaMobileBanking
most of the time is not working properly,1,2025-11-25,BOA,Google Play,com.boa.boaMobileBanking
good service,5,2025-11-24,BOA,Google Play,com.boa.boaMobileBanking
not use for me,3,2025-11-23,BOA,Google Play,com.boa.boaMobileBanking
It keeps notifying me to disable developer options and quiet while I'm not enabled. always bring another type of problem with new updates.,1,2025-11-22,BOA,Google Play,com.boa.boaMobileBanking
waw,5,2025-11-21,BOA,Google Play,com.boa.boaMobileBanking
the lag is unbelievable when you need it the most this suks,1,2025-11-19,BOA,Google Play,com.boa.boaMobileBanking
I cant belive I could find the worst bank app ever .yet very simple to fix the problem and the company just ignored it. no body can do business with this kind of app.,1,2025-11-18,BOA,Google Play,com.boa.boaMobileBanking
it is a good app,5,2025-11-18,BOA,Google Play,com.boa.boaMobileBanking
it is not working at all,1,2025-11-15,BOA,Google Play,com.boa.boaMobileBanking
🥰🥰🥰🥰🥰 app is good but i was live in abroad and when i enter my otp code it didnt make me to write my code it the app want it self write thats not fair so please other wise i like it why,5,2025-11-15,BOA,Google Play,com.boa.boaMobileBanking
when trying to activate the app it keeps on loading on the security questions page. It has been two days,1,2025-11-13,BOA,Google Play,com.boa.boaMobileBanking
fast and simple,5,2025-11-11,BOA,Google Play,com.boa.boaMobileBanking
best of best,5,2025-11-10,BOA,Google Play,com.boa.boaMobileBanking
Worest Banking App Ever I seen. Fake App Bad Better to Leave,1,2025-11-10,BOA,Google Play,com.boa.boaMobileBanking
good,4,2025-11-10,BOA,Google Play,com.boa.boaMobileBanking
