review_text,rating,review_date,bank,source,app_package,clean_text,sentiment_label,sentiment_score,theme,category
🙏👍,5,2025-11-29,BOA,Google Play,com.boa.boaMobileBanking,,POSITIVE,0.7481208443641663,Other,Other
Very Good,5,2025-11-28,BOA,Google Play,com.boa.boaMobileBanking,very good,POSITIVE,0.9998520612716676,Other,Other
goof,5,2025-11-28,BOA,Google Play,com.boa.boaMobileBanking,goof,NEGATIVE,0.9975278973579408,Other,Other
good!,5,2025-11-28,BOA,Google Play,com.boa.boaMobileBanking,good,POSITIVE,0.999816119670868,Other,Other
good jop,5,2025-11-27,BOA,Google Play,com.boa.boaMobileBanking,good jop,POSITIVE,0.9998409748077391,Other,Other
bad exprience...it is so crushed,1,2025-11-27,BOA,Google Play,com.boa.boaMobileBanking,bad exprience it is so crushed,NEGATIVE,0.9997389912605286,Other,Other
not user friendly at all it requires a huge connectivity and also lags many times 😑😑😑,1,2025-11-26,BOA,Google Play,com.boa.boaMobileBanking,not user friendly at all it requires a huge connectivity and also lags many times,NEGATIVE,0.9997567534446716,Performance,Other
ምንም የማይ ሰራ,1,2025-11-26,BOA,Google Play,com.boa.boaMobileBanking,,POSITIVE,0.7481208443641663,Other,Other
very good,5,2025-11-25,BOA,Google Play,com.boa.boaMobileBanking,very good,POSITIVE,0.9998520612716676,Other,Other
most of the time is not working properly,1,2025-11-25,BOA,Google Play,com.boa.boaMobileBanking,most of the time is not working properly,NEGATIVE,0.9997636675834656,Other,Other
good service,5,2025-11-24,BOA,Google Play,com.boa.boaMobileBanking,good service,POSITIVE,0.9998499155044556,Support,Other
not use for me,3,2025-11-23,BOA,Google Play,com.boa.boaMobileBanking,not use for me,NEGATIVE,0.9953739047050476,Other,Other
It keeps notifying me to disable developer options and quiet while I'm not enabled. always bring another type of problem with new updates.,1,2025-11-22,BOA,Google Play,com.boa.boaMobileBanking,it keeps notifying me to disable developer options and quiet while i m not enabled always bring another type of problem with new updates,NEGATIVE,0.9980276226997375,Features/UI,Other
waw,5,2025-11-21,BOA,Google Play,com.boa.boaMobileBanking,waw,NEGATIVE,0.7346174120903015,Other,Other
